extraction_id,rfp_id,pricing_model,volume_low,volume_base,volume_high,service_types,locales,sla_terms,commercial_terms,confidence_score
741637cd-58ac-4a9d-bd5e-19673e3504c7,413a42bc-6ec8-43d4-a5d2-888b11560b5c,RETAINER,2649661,4792454,6875205,"[""localization_engineering"", ""translation""]","[""ja-JP"", ""id-ID"", ""da-DK"", ""de-DE""]","{""response_time_hours"": 4, ""uptime_target_pct"": 99.9, ""penalty_clause"": false, ""penalty_rate_pct"": 3.1}","{""duration_months"": 24, ""renewal"": ""none"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 10, ""payment_terms_days"": 60}",0.93
3ca08d8a-42b4-410b-a723-f3eafb893e24,d02efa4d-f0c4-4937-ae89-a0a65e3d6e80,TIERED,456086,725276,1301552,"[""translation""]","[""hi-IN""]","{""response_time_hours"": 24, ""uptime_target_pct"": 99.0, ""penalty_clause"": true, ""penalty_rate_pct"": 4.3}","{""duration_months"": 12, ""renewal"": ""none"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 15, ""payment_terms_days"": 30}",0.91
a5e6abee-1a82-4e98-8000-5ae3f00124f8,eb674592-645d-4f1b-b950-ac3086e5550d,RETAINER,6580017,10492570,15749002,"[""proofreading"", ""transcription"", ""content_writing"", ""qa_testing""]","[""ta-IN"", ""vi-VN"", ""de-AT"", ""hi-IN"", ""es-AR"", ""fr-FR""]","{""response_time_hours"": 24, ""uptime_target_pct"": 99.9, ""penalty_clause"": true, ""penalty_rate_pct"": 6.4}","{""duration_months"": 24, ""renewal"": ""manual"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 10, ""payment_terms_days"": 45}",0.97
d2e34a49-46f3-4b72-aa6b-32a356e4f4b8,f5db34cc-f7c8-473c-b9f7-a1159d0d946b,PER_WORD,2790898,5040179,8256353,"[""proofreading""]","[""pt-PT"", ""hi-IN"", ""pt-BR"", ""tr-TR""]","{""response_time_hours"": 8, ""uptime_target_pct"": 99.0, ""penalty_clause"": false, ""penalty_rate_pct"": 6.0}","{""duration_months"": 12, ""renewal"": ""auto"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 15, ""payment_terms_days"": 30}",0.94
bd102ddc-22c2-4e9a-8cf5-831e7acf20eb,663f12f4-8de1-4b0e-a8f6-c3301d638025,HYBRID,4429,7100,10907,"[""qa_testing""]","[""es-MX"", ""de-DE"", ""it-IT"", ""en-GB""]","{""response_time_hours"": 24, ""uptime_target_pct"": 99.5, ""penalty_clause"": true, ""penalty_rate_pct"": 8.4}","{""duration_months"": 36, ""renewal"": ""manual"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 20, ""payment_terms_days"": 30}",0.92
135f712e-9195-4282-bfa8-723d9dfe9e5e,4ea139c9-e5e4-4442-9b01-b7d178917e59,HYBRID,1500508,2458569,3591443,"[""transcreation"", ""dubbing""]","[""ja-JP"", ""sv-SE"", ""es-AR""]","{""response_time_hours"": 48, ""uptime_target_pct"": 99.5, ""penalty_clause"": false, ""penalty_rate_pct"": 2.2}","{""duration_months"": 24, ""renewal"": ""none"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 10, ""payment_terms_days"": 30}",0.91
a21f4b78-be0c-4f6b-a943-9f96c4671509,33a3020c-bdab-486c-890b-6b5fda5973e5,HYBRID,9751,15201,24379,"[""voiceover"", ""dubbing""]","[""pt-BR"", ""en-AU""]","{""response_time_hours"": 8, ""uptime_target_pct"": 99.0, ""penalty_clause"": false, ""penalty_rate_pct"": 5.0}","{""duration_months"": 24, ""renewal"": ""none"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 10, ""payment_terms_days"": 30}",0.92
81c81d1e-eb87-49c9-9d99-6ff17717fcf4,56e10717-6725-43c0-9003-fd99789d3a5c,HYBRID,1492,2358,3613,"[""dtp""]","[""he-IL"", ""es-ES"", ""el-GR""]","{""response_time_hours"": 4, ""uptime_target_pct"": 99.5, ""penalty_clause"": false, ""penalty_rate_pct"": 8.4}","{""duration_months"": 36, ""renewal"": ""none"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 20, ""payment_terms_days"": 45}",0.88
087a574b-8b15-4ef3-a096-6e9fc7ce5966,bc112d93-35f1-4c33-8f7d-d245d980a886,PER_WORD,629,943,1419,"[""dtp""]","[""de-DE"", ""pl-PL""]","{""response_time_hours"": 48, ""uptime_target_pct"": 99.9, ""penalty_clause"": true, ""penalty_rate_pct"": 7.6}","{""duration_months"": 36, ""renewal"": ""auto"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 20, ""payment_terms_days"": 60}",0.94
2acc2292-36c6-4f75-ad9a-61d0e43a8349,501ec107-8cd7-4bac-933b-81ce7249f12f,PER_HOUR,5845524,8656622,14230898,"[""voiceover"", ""subtitling"", ""content_writing""]","[""cs-CZ"", ""pl-PL"", ""ja-JP"", ""zh-TW"", ""tr-TR"", ""he-IL"", ""de-AT"", ""nl-NL""]","{""response_time_hours"": 48, ""uptime_target_pct"": 99.0, ""penalty_clause"": false, ""penalty_rate_pct"": 4.2}","{""duration_months"": 12, ""renewal"": ""manual"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 20, ""payment_terms_days"": 60}",0.91
f3e7cc2e-6134-4183-affd-489858d4b594,e8520a96-06ae-4832-a2db-46efdc4be498,HYBRID,6033,10346,15075,"[""transcription"", ""qa_testing""]","[""es-AR"", ""ta-IN""]","{""response_time_hours"": 24, ""uptime_target_pct"": 99.9, ""penalty_clause"": true, ""penalty_rate_pct"": 2.5}","{""duration_months"": 12, ""renewal"": ""manual"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 10, ""payment_terms_days"": 45}",0.84
e5f1d345-d27d-4f52-902f-0d2e7c14dc23,4920e063-9913-4eb3-98d7-e4a383783eb9,PER_WORD,1694894,2610370,4378018,"[""content_writing""]","[""fi-FI"", ""da-DK""]","{""response_time_hours"": 8, ""uptime_target_pct"": 99.9, ""penalty_clause"": true, ""penalty_rate_pct"": 6.2}","{""duration_months"": 36, ""renewal"": ""none"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 5, ""payment_terms_days"": 60}",0.87
6b31cf85-8409-4c43-86ca-bde11b736973,4ae30f41-9167-412b-a217-894cee768756,RETAINER,1769,2702,4010,"[""localization_engineering"", ""interpretation""]","[""en-US"", ""th-TH""]","{""response_time_hours"": 4, ""uptime_target_pct"": 99.0, ""penalty_clause"": false, ""penalty_rate_pct"": 4.8}","{""duration_months"": 12, ""renewal"": ""none"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 5, ""payment_terms_days"": 45}",0.94
d5d6b1bf-e77a-48c2-8218-283bd6841805,a9b01b5b-d380-4a69-a62b-a6cb972bd9d5,TIERED,5866,10958,18630,"[""transcription""]","[""en-GB"", ""nl-NL""]","{""response_time_hours"": 8, ""uptime_target_pct"": 99.0, ""penalty_clause"": true, ""penalty_rate_pct"": 9.8}","{""duration_months"": 24, ""renewal"": ""none"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 20, ""payment_terms_days"": 30}",0.91
992c1466-a514-41e1-afdf-c236851de82f,986baff3-63fe-4666-a295-c7c939f0fbfe,HYBRID,656755,1011254,1670230,"[""proofreading""]","[""en-GB""]","{""response_time_hours"": 4, ""uptime_target_pct"": 99.5, ""penalty_clause"": false, ""penalty_rate_pct"": 3.9}","{""duration_months"": 12, ""renewal"": ""auto"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 15, ""payment_terms_days"": 30}",0.85
bbf5eee0-2cf1-4c37-91ec-334bd0de6dcf,0ce0a0ad-671d-41d5-84f5-18d0e776edfb,PER_WORD,1058184,1561125,2496766,"[""translation""]","[""id-ID"", ""ta-IN""]","{""response_time_hours"": 24, ""uptime_target_pct"": 99.9, ""penalty_clause"": false, ""penalty_rate_pct"": 5.3}","{""duration_months"": 24, ""renewal"": ""manual"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 20, ""payment_terms_days"": 30}",0.93
08a71444-85ca-4461-aea7-05643d0e126e,2adc676f-2e7c-45cc-b10e-386df07d5622,PER_HOUR,2027,2989,5137,"[""subtitling""]","[""es-ES"", ""fi-FI""]","{""response_time_hours"": 48, ""uptime_target_pct"": 99.9, ""penalty_clause"": true, ""penalty_rate_pct"": 9.0}","{""duration_months"": 12, ""renewal"": ""none"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 20, ""payment_terms_days"": 30}",0.85
2beaf642-e4d8-4908-b788-008eb881594e,91aa2254-e0e9-4201-8972-0afa9acf5a7c,PER_HOUR,725,1219,1909,"[""localization_engineering""]","[""en-AU""]","{""response_time_hours"": 24, ""uptime_target_pct"": 99.5, ""penalty_clause"": false, ""penalty_rate_pct"": 5.7}","{""duration_months"": 36, ""renewal"": ""manual"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 10, ""payment_terms_days"": 45}",0.89
dd2278ba-ec96-45cf-aaee-afe4a018d6a5,644ac960-a0ab-4fb7-bebb-f7b353485e5f,FIXED,5742,9736,16311,"[""subtitling""]","[""pl-PL"", ""it-IT""]","{""response_time_hours"": 48, ""uptime_target_pct"": 99.5, ""penalty_clause"": true, ""penalty_rate_pct"": 7.9}","{""duration_months"": 24, ""renewal"": ""auto"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 20, ""payment_terms_days"": 30}",0.97
4bade2a8-5c18-4e2c-82fd-f899a98fece1,4458370b-2911-4a87-8ba1-cebad04702c1,HYBRID,2082,2892,4713,"[""localization_engineering""]","[""vi-VN"", ""fr-CA""]","{""response_time_hours"": 48, ""uptime_target_pct"": 99.0, ""penalty_clause"": true, ""penalty_rate_pct"": 6.2}","{""duration_months"": 24, ""renewal"": ""none"", ""tax_treatment"": ""inclusive"", ""volume_tolerance_pct"": 5, ""payment_terms_days"": 60}",0.84
c8e198fd-de1e-462d-bf96-81b8b143d5f9,aa9abd09-b043-4307-92ed-399c3f797d21,HYBRID,2750690,3977286,5327124,"[""proofreading"", ""dubbing""]","[""fi-FI"", ""th-TH"", ""id-ID""]","{""response_time_hours"": 48, ""uptime_target_pct"": 99.5, ""penalty_clause"": false, ""penalty_rate_pct"": 6.5}","{""duration_months"": 12, ""renewal"": ""none"", ""tax_treatment"": ""exclusive"", ""volume_tolerance_pct"": 10, ""payment_terms_days"": 30}",0.86
